Data,Valoare EUR (lei),Variatie (lei),Variatie (%)
20 Mart. 2024,4.9739,-0.0002,0.00%
19 Mart. 2024,4.9741,0.0026,0.05%
18 Mart. 2024,4.9715,0.0008,0.02%
15 Mart. 2024,4.9707,-0.0005,-0.01%
14 Mart. 2024,4.9712,0.0037,0.07%
13 Mart. 2024,4.9675,0.001,0.02%
12 Mart. 2024,4.9665,-0.0006,-0.01%
11 Mart. 2024,4.9671,-0.002,-0.04%
8 Mart. 2024,4.9691,-0.0016,-0.03%
7 Mart. 2024,4.9707,-0.0011,-0.02%
6 Mart. 2024,4.9718,-0.0001,0.00%
5 Mart. 2024,4.9719,0.0021,0.04%
4 Mart. 2024,4.9698,-0.0001,0.00%
1 Mart. 2024,4.9699,0.0009,0.02%
29 Feb. 2024,4.969,-0.001,-0.02%
28 Feb. 2024,4.97,0.0014,0.03%
27 Feb. 2024,4.9686,-0.0045,-0.09%
26 Feb. 2024,4.9731,-0.0022,-0.04%
23 Feb. 2024,4.9753,-0.0016,-0.03%
22 Feb. 2024,4.9769,0.001,0.02%
21 Feb. 2024,4.9759,-0.0012,-0.02%
20 Feb. 2024,4.9771,-0.0002,0.00%
19 Feb. 2024,4.9773,0.0003,0.01%
16 Feb. 2024,4.977,0.0003,0.01%
15 Feb. 2024,4.9767,0.0007,0.01%
14 Feb. 2024,4.976,-0.0001,0.00%
13 Feb. 2024,4.9761,0.0008,0.02%
12 Feb. 2024,4.9753,-0.0017,-0.03%
9 Feb. 2024,4.977,0.0006,0.01%
8 Feb. 2024,4.9764,-0.0005,-0.01%
7 Feb. 2024,4.9769,0.0009,0.02%
6 Feb. 2024,4.976,0.0024,0.05%
5 Feb. 2024,4.9736,0.0008,0.02%
2 Feb. 2024,4.9728,-0.0019,-0.04%
1 Feb. 2024,4.9747,-0.0012,-0.02%
31 Ian. 2024,4.9759,-0.001,-0.02%
30 Ian. 2024,4.9769,-0.0001,0.00%
29 Ian. 2024,4.977,0.0007,0.01%
26 Ian. 2024,4.9763,-0.0002,0.00%
25 Ian. 2024,4.9765,-0.0002,0.00%
23 Ian. 2024,4.9767,-0.0001,0.00%
22 Ian. 2024,4.9768,-0.0001,0.00%
19 Ian. 2024,4.9769,0.0004,0.01%
18 Ian. 2024,4.9765,0.0013,0.03%
17 Ian. 2024,4.9752,-0.0009,-0.02%
16 Ian. 2024,4.9761,0.0025,0.05%
15 Ian. 2024,4.9736,0.0005,0.01%
12 Ian. 2024,4.9731,0.0008,0.02%
11 Ian. 2024,4.9723,-0.0001,0.00%
10 Ian. 2024,4.9724,0.0009,0.02%
9 Ian. 2024,4.9715,-0.0005,-0.01%
8 Ian. 2024,4.972,-0.0024,-0.05%
5 Ian. 2024,4.9744,0.0014,0.03%
4 Ian. 2024,4.973,-0.0001,0.00%
3 Ian. 2024,4.9731,-0.0015,-0.03%
29 Dec. 2023,4.9746,-0.0007,-0.01%
28 Dec. 2023,4.9753,0.0033,0.07%
