"MTU (UTC)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"09/01/2021 07:00 - 09/01/2021 08:00","BZN|RO","7593.00","7800.00"
"09/01/2021 08:00 - 09/01/2021 09:00","BZN|RO","7767.00","7950.00"
"09/01/2021 09:00 - 09/01/2021 10:00","BZN|RO","7830.00","7930.00"
"09/01/2021 10:00 - 09/01/2021 11:00","BZN|RO","7792.00","7830.00"
"09/01/2021 11:00 - 09/01/2021 12:00","BZN|RO","7679.00","7770.00"
"09/01/2021 12:00 - 09/01/2021 13:00","BZN|RO","7516.00","7600.00"
"09/01/2021 13:00 - 09/01/2021 14:00","BZN|RO","7489.00","7550.00"
"09/01/2021 14:00 - 09/01/2021 15:00","BZN|RO","7663.00","7720.00"
"09/01/2021 15:00 - 09/01/2021 16:00","BZN|RO","8149.00","8250.00"
"09/01/2021 16:00 - 09/01/2021 17:00","BZN|RO","8243.00","8350.00"
"09/01/2021 17:00 - 09/01/2021 18:00","BZN|RO","8102.00","8300.00"
"09/01/2021 18:00 - 09/01/2021 19:00","BZN|RO","7907.00","8100.00"
"09/01/2021 19:00 - 09/01/2021 20:00","BZN|RO","7513.00","7720.00"
"09/01/2021 20:00 - 09/01/2021 21:00","BZN|RO","7073.00","7200.00"
"09/01/2021 21:00 - 09/01/2021 22:00","BZN|RO","6706.00","6750.00"
"09/01/2021 22:00 - 09/01/2021 23:00","BZN|RO","6361.00","6360.00"
"09/01/2021 23:00 - 10/01/2021 00:00","BZN|RO","6151.00","6150.00"
"10/01/2021 00:00 - 10/01/2021 01:00","BZN|RO","6001.00","6020.00"
"10/01/2021 01:00 - 10/01/2021 02:00","BZN|RO","5922.00","5940.00"
"10/01/2021 02:00 - 10/01/2021 03:00","BZN|RO","5940.00","5950.00"
"10/01/2021 03:00 - 10/01/2021 04:00","BZN|RO","6000.00","6020.00"
"10/01/2021 04:00 - 10/01/2021 05:00","BZN|RO","6092.00","6130.00"
"10/01/2021 05:00 - 10/01/2021 06:00","BZN|RO","6368.00","6340.00"
"10/01/2021 06:00 - 10/01/2021 07:00","BZN|RO","6592.00","6640.00"
"10/01/2021 07:00 - 10/01/2021 08:00","BZN|RO","6851.00","6880.00"
"10/01/2021 08:00 - 10/01/2021 09:00","BZN|RO","6998.00","6960.00"
