"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (RON/MWh)","Intraday Period (CET/CEST)","Intraday Price (RON/MWh)"
"06/01/2015 22:00:00 - 06/01/2015 23:00:00","BZN|RO","Without Sequence","139.00","",""
"06/01/2015 23:00:00 - 07/01/2015 00:00:00","BZN|RO","Without Sequence","108.00","",""
"07/01/2015 00:00:00 - 07/01/2015 01:00:00","BZN|RO","Without Sequence","81.00","",""
"07/01/2015 01:00:00 - 07/01/2015 02:00:00","BZN|RO","Without Sequence","40.00","",""
"07/01/2015 02:00:00 - 07/01/2015 03:00:00","BZN|RO","Without Sequence","31.00","",""
"07/01/2015 03:00:00 - 07/01/2015 04:00:00","BZN|RO","Without Sequence","51.00","",""
"07/01/2015 04:00:00 - 07/01/2015 05:00:00","BZN|RO","Without Sequence","119.18","",""
"07/01/2015 05:00:00 - 07/01/2015 06:00:00","BZN|RO","Without Sequence","125.70","",""
"07/01/2015 06:00:00 - 07/01/2015 07:00:00","BZN|RO","Without Sequence","154.00","",""
"07/01/2015 07:00:00 - 07/01/2015 08:00:00","BZN|RO","Without Sequence","219.00","",""
"07/01/2015 08:00:00 - 07/01/2015 09:00:00","BZN|RO","Without Sequence","230.00","",""
"07/01/2015 09:00:00 - 07/01/2015 10:00:00","BZN|RO","Without Sequence","235.00","",""
"07/01/2015 10:00:00 - 07/01/2015 11:00:00","BZN|RO","Without Sequence","224.62","",""
"07/01/2015 11:00:00 - 07/01/2015 12:00:00","BZN|RO","Without Sequence","224.98","",""
"07/01/2015 12:00:00 - 07/01/2015 13:00:00","BZN|RO","Without Sequence","223.80","",""
"07/01/2015 13:00:00 - 07/01/2015 14:00:00","BZN|RO","Without Sequence","228.00","",""
"07/01/2015 14:00:00 - 07/01/2015 15:00:00","BZN|RO","Without Sequence","247.00","",""
"07/01/2015 15:00:00 - 07/01/2015 16:00:00","BZN|RO","Without Sequence","268.60","",""
"07/01/2015 16:00:00 - 07/01/2015 17:00:00","BZN|RO","Without Sequence","288.00","",""
"07/01/2015 17:00:00 - 07/01/2015 18:00:00","BZN|RO","Without Sequence","286.82","",""
"07/01/2015 18:00:00 - 07/01/2015 19:00:00","BZN|RO","Without Sequence","285.00","",""
"07/01/2015 19:00:00 - 07/01/2015 20:00:00","BZN|RO","Without Sequence","278.00","",""
"07/01/2015 20:00:00 - 07/01/2015 21:00:00","BZN|RO","Without Sequence","278.00","",""
"07/01/2015 21:00:00 - 07/01/2015 22:00:00","BZN|RO","Without Sequence","250.17","",""
"07/01/2015 22:00:00 - 07/01/2015 23:00:00","BZN|RO","Without Sequence","247.00","",""
"07/01/2015 23:00:00 - 08/01/2015 00:00:00","BZN|RO","Without Sequence","219.00","",""
